timestamp,ax,ay,az,gx,gy,gz,upper_tilt,lower_tilt,label
2026-04-29T14:00:25.159238,1.05,-0.26,0.14,-7.04,2.44,0.67,82.6,0.0,perfect
2026-04-29T14:00:28.188798,1.04,-0.26,0.14,-4.2,2.09,-0.17,82.6,0.0,perfect
2026-04-29T14:00:29.832493,1.04,-0.26,0.14,-4.95,1.21,0.24,82.6,0.0,perfect
2026-04-29T14:00:31.199096,1.04,-0.27,0.15,-3.04,2.24,-1.11,82.1,0.0,perfect
2026-04-29T14:00:32.382172,1.04,-0.25,0.14,-6.03,1.73,-0.53,82.5,0.0,perfect
2026-04-29T14:00:33.835697,1.05,-0.25,0.14,-4.99,1.68,0.61,82.6,0.0,perfect
2026-04-29T14:00:34.928378,1.04,-0.26,0.15,-2.69,1.86,1.04,82.0,0.0,perfect
2026-04-29T14:00:36.041131,1.05,-0.28,0.14,-3.42,3.28,-1.19,82.7,0.0,perfect
2026-04-29T14:00:38.076972,1.04,-0.25,0.13,-4.5,2.52,-0.23,83.1,0.0,perfect
2026-04-29T14:00:39.952656,1.04,-0.23,0.18,-7.8,5.94,-1.86,80.4,0.0,perfect
2026-04-29T14:00:40.895281,1.05,-0.22,0.15,-6.93,3.73,-0.08,82.0,0.0,perfect
2026-04-29T14:00:41.966014,1.03,-0.23,0.17,-4.31,2.95,0.09,80.8,0.0,perfect
2026-04-29T14:00:43.233462,1.05,-0.24,0.15,-4.26,2.58,0.11,82.1,0.0,perfect
2026-04-29T14:00:44.581324,1.04,-0.23,0.17,-4.89,2.34,0.21,80.9,0.0,perfect
2026-04-29T14:00:49.399950,1.05,-0.24,0.16,-3.59,2.93,0.82,81.6,0.0,perfect
2026-04-29T14:00:50.727148,1.04,-0.24,0.14,-4.79,1.82,-0.32,82.5,0.0,perfect
2026-04-29T14:00:51.926583,1.05,-0.24,0.15,-4.32,2.72,1.13,82.1,0.0,perfect
2026-04-29T14:00:53.244067,1.04,-0.24,0.16,-4.05,3.19,-0.06,81.5,0.0,perfect
2026-04-29T14:00:54.402109,1.04,-0.24,0.16,-4.02,2.64,0.35,81.5,0.0,perfect
2026-04-29T14:00:56.558116,1.04,-0.24,0.17,-3.63,1.83,-0.24,81.0,0.0,perfect
2026-04-29T14:01:08.436033,1.05,-0.24,0.16,-4.84,2.9,0.4,81.6,0.0,good
2026-04-29T14:01:10.466890,1.04,-0.25,0.16,-3.98,3.21,0.56,81.5,0.0,good
2026-04-29T14:01:12.341347,1.04,-0.25,0.16,-4.17,2.82,-0.17,81.5,0.0,good
2026-04-29T14:01:14.062897,1.04,-0.24,0.17,-3.89,2.12,0.55,81.0,0.0,good
2026-04-29T14:01:15.520478,1.04,-0.25,0.16,-4.64,2.92,0.08,81.5,0.0,good
2026-04-29T14:01:16.970681,1.04,-0.25,0.17,-3.69,2.56,0.17,81.0,0.0,good
2026-04-29T14:01:18.565509,1.04,-0.25,0.17,-4.6,1.86,-0.46,81.0,0.0,good
2026-04-29T14:01:20.163499,1.05,-0.24,0.17,-2.89,3.57,0.46,81.0,0.0,good
2026-04-29T14:01:21.707625,1.03,-0.24,0.15,-2.76,3.33,0.06,81.9,0.0,good
2026-04-29T14:01:23.633897,1.04,-0.25,0.15,-3.91,2.92,0.9,82.0,0.0,good
2026-04-29T14:01:24.932980,1.04,-0.25,0.16,-3.68,2.89,0.21,81.5,0.0,good
2026-04-29T14:01:26.268116,1.05,-0.24,0.15,-3.76,2.56,0.52,82.1,0.0,good
2026-04-29T14:01:27.656407,1.03,-0.24,0.16,-2.73,3.4,0.32,81.4,0.0,good
2026-04-29T14:01:29.110794,1.05,-0.24,0.16,-3.97,2.79,0.09,81.6,0.0,good
2026-04-29T14:01:30.491171,1.04,-0.26,0.15,-4.47,1.28,-0.24,82.0,0.0,good
2026-04-29T14:01:31.705726,1.04,-0.25,0.15,-3.76,2.87,0.29,82.0,0.0,good
2026-04-29T14:01:33.037329,1.03,-0.25,0.16,-5.3,2.44,0.09,81.4,0.0,good
2026-04-29T14:01:34.011964,1.03,-0.26,0.16,-2.55,2.96,0.56,81.4,0.0,good
